state,scenario,period,ruler,unweighted_mean,area_weighted_mean,delta_area_minus_unweighted,n_districts_scored,n_districts_with_area
Arunachal Pradesh,ssp585,2060-2080,cdf,43.184436205801006,41.21307108990934,-1.9713651158916647,26,26
Assam,historical,1990-2010,cdf,12.439027141468836,12.026851658315888,-0.4121754831529483,35,35
Assam,ssp245,2020-2040,cdf,25.181048694988206,24.707589794430486,-0.4734589005577199,35,35
Assam,ssp245,2040-2060,cdf,37.79648236845759,36.91626725394731,-0.8802151145102783,35,35
Assam,ssp245,2060-2080,cdf,48.60086509093434,47.54178526221428,-1.0590798287200585,35,35
Assam,ssp585,2020-2040,cdf,27.40028460363738,26.816287918776762,-0.5839966848606188,35,35
Assam,ssp585,2040-2060,cdf,47.052916319589066,46.04757426801413,-1.0053420515749352,35,35
Assam,ssp585,2060-2080,cdf,60.452302859919484,59.14466588206109,-1.3076369778583938,35,35
Bihar,historical,1990-2010,cdf,26.074121847987325,26.106018792540556,0.031896944553231776,38,38
Bihar,ssp245,2020-2040,cdf,34.71397722622884,34.896448125226705,0.18247089899786317,38,38
Bihar,ssp245,2040-2060,cdf,53.400385530151915,53.48835569955937,0.0879701694074555,38,38
Bihar,ssp245,2060-2080,cdf,67.39319200424534,67.41996660665113,0.026774602405794212,38,38
Bihar,ssp585,2020-2040,cdf,37.90186962943073,38.05969816339046,0.15782853395973007,38,38
Bihar,ssp585,2040-2060,cdf,63.68416257480436,63.78132878494162,0.09716621013726012,38,38
Bihar,ssp585,2060-2080,cdf,83.51745914531227,83.54153806293148,0.024078917619206663,38,38
Chandigarh,historical,1990-2010,cdf,20.01564018464529,20.01564018464529,0.0,1,1
Chandigarh,ssp245,2020-2040,cdf,31.827623906705547,31.827623906705547,0.0,1,1
Chandigarh,ssp245,2040-2060,cdf,43.147473275024296,43.147473275024296,0.0,1,1
Chandigarh,ssp245,2060-2080,cdf,56.30208333333335,56.30208333333335,0.0,1,1
Chandigarh,ssp585,2020-2040,cdf,33.36476554907678,33.36476554907678,0.0,1,1
Chandigarh,ssp585,2040-2060,cdf,53.05864310009719,53.05864310009719,0.0,1,1
Chandigarh,ssp585,2060-2080,cdf,72.96222060252674,72.96222060252674,0.0,1,1
Chhattisgarh,historical,1990-2010,cdf,32.44895198339077,31.650736077972674,-0.7982159054180968,33,33
Chhattisgarh,ssp245,2020-2040,cdf,42.96029261271609,42.08931164859813,-0.8709809641179618,33,33
Chhattisgarh,ssp245,2040-2060,cdf,58.82598304473306,57.85202193011398,-0.9739611146190796,33,33
Chhattisgarh,ssp245,2060-2080,cdf,70.8659205024001,70.22992977559137,-0.6359907268087284,33,33
Chhattisgarh,ssp585,2020-2040,cdf,44.24007752451631,43.33596576065332,-0.9041117638629856,33,33
Chhattisgarh,ssp585,2040-2060,cdf,68.34031827016521,67.60162231246325,-0.7386959577019638,33,33
Chhattisgarh,ssp585,2060-2080,cdf,88.44383613835144,87.98700934719305,-0.45682679115839164,33,33
"Dadra, Nagar Haveli, Daman & Diu",historical,1990-2010,cdf,26.328454000647884,28.618517452416008,2.2900634517681233,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp245,2020-2040,cdf,41.437530369290585,42.769228823712226,1.331698454421641,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp245,2040-2060,cdf,56.72512755102043,57.3128172744135,0.5876897233930691,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp245,2060-2080,cdf,68.30903790087466,70.7261297002933,2.4170917994186425,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp585,2020-2040,cdf,42.93868440233236,44.24888817268492,1.3102037703525582,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp585,2040-2060,cdf,65.79835803368967,68.15707433367791,2.358716299988245,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp585,2060-2080,cdf,79.14065030774215,83.53618142863236,4.395531120890212,3,3
Delhi,historical,1990-2010,cdf,26.183353211414442,25.918568459447133,-0.26478475196730855,11,11
Delhi,ssp245,2020-2040,cdf,36.452038607650856,36.487645167668404,0.03560656001754836,11,11
Delhi,ssp245,2040-2060,cdf,53.405170509762364,53.24988232366019,-0.15528818610217598,11,11
Delhi,ssp245,2060-2080,cdf,66.00693524162912,65.97411140390336,-0.0328238377257577,11,11
Delhi,ssp585,2020-2040,cdf,40.49387368583798,40.42468147097487,-0.069192214863115,11,11
Delhi,ssp585,2040-2060,cdf,61.62816668875343,61.46976017514821,-0.15840651360522173,11,11
Delhi,ssp585,2060-2080,cdf,81.85287183055041,81.68364091246136,-0.1692309180890561,11,11
Goa,historical,1990-2010,cdf,24.0086704324587,23.8778681290347,-0.13080230342400156,2,2
Goa,ssp245,2020-2040,cdf,43.812788508260454,43.65568659736219,-0.15710191089826253,2,2
Goa,ssp245,2040-2060,cdf,61.38165087463557,61.238623531851616,-0.14302734278395235,2,2
Goa,ssp245,2060-2080,cdf,70.86188046647231,70.73219738722442,-0.12968307924789713,2,2
Goa,ssp585,2020-2040,cdf,44.98853559280855,44.83164974835355,-0.15688584445500453,2,2
Goa,ssp585,2040-2060,cdf,68.73329689018466,68.60934389301218,-0.12395299717248065,2,2
Goa,ssp585,2060-2080,cdf,79.74573311467447,79.63765235842425,-0.10808075625021729,2,2
Gujarat,historical,1990-2010,cdf,36.557963012044645,36.46983890451701,-0.08812410752763356,33,33
Gujarat,ssp245,2020-2040,cdf,51.56786063992698,52.59413168827617,1.0262710483491944,33,33
Gujarat,ssp245,2040-2060,cdf,65.794575676591,66.39711515068136,0.6025394740903636,33,33
Gujarat,ssp245,2060-2080,cdf,76.74694282474896,77.58052526355435,0.8335824388053936,33,33
Gujarat,ssp585,2020-2040,cdf,54.03707722266397,54.7771512443205,0.7400740216565325,33,33
Gujarat,ssp585,2040-2060,cdf,73.69065564537505,74.64904517973639,0.9583895343613449,33,33
